,SAMPLE_DATE,PROCESS_TYPE,TOTAL_USERNAME,TOTAL_PGA_ALLOCATED_MB,TOTAL_PGA_USED_MB
,1-Jan-2021 13:15:26,other-processs,53,161,143.69
,1-Jan-2021 13:15:28,bkg-processs,56,150.76,100.65
,1-Jan-2021 13:15:28,other-processs,53,161,143.58
,1-Jan-2021 13:15:30,bkg-processs,56,152.26,101.56
,1-Jan-2021 13:15:30,other-processs,53,161,143.53
,1-Jan-2021 13:15:33,bkg-processs,56,160.18,108.61
,1-Jan-2021 13:15:33,other-processs,53,161,143.44
,1-Jan-2021 13:15:35,bkg-processs,56,162.06,110.89
,1-Jan-2021 13:15:35,other-processs,53,161,143.27
,1-Jan-2021 13:15:37,bkg-processs,56,164.18,110.21
,1-Jan-2021 13:15:37,other-processs,53,161,143.22
,1-Jan-2021 13:15:39,bkg-processs,56,164.18,113.76
,1-Jan-2021 13:15:39,other-processs,53,161,143.18
,1-Jan-2021 13:15:41,bkg-processs,56,167.06,114.45
,1-Jan-2021 13:15:41,other-processs,53,161,143.14
,1-Jan-2021 13:15:43,bkg-processs,56,178.43,125.88
,1-Jan-2021 13:15:43,other-processs,53,161,142.45
,1-Jan-2021 13:15:45,bkg-processs,56,180.74,121.44
,1-Jan-2021 13:15:45,other-processs,53,161,142.94
,1-Jan-2021 13:15:47,bkg-processs,56,181.68,118.48
,1-Jan-2021 13:15:47,other-processs,53,161,142.41
,1-Jan-2021 13:15:50,bkg-processs,56,181.68,119.19
,1-Jan-2021 13:15:50,other-processs,53,161,142.39
,1-Jan-2021 13:15:52,bkg-processs,56,162.12,118.12
,1-Jan-2021 13:15:52,other-processs,53,161,142.89
,1-Jan-2021 13:15:54,bkg-processs,56,167.43,118.7
,1-Jan-2021 13:15:54,other-processs,53,161,142.89
,1-Jan-2021 13:15:56,bkg-processs,56,168.81,118.15
,1-Jan-2021 13:15:56,other-processs,53,161,142.87
,1-Jan-2021 13:15:58,bkg-processs,56,168.81,118.15
,1-Jan-2021 13:15:58,other-processs,53,161,142.87
,1-Jan-2021 13:16:00,bkg-processs,56,168.81,118.16
,1-Jan-2021 13:16:00,other-processs,53,161,142.87
,1-Jan-2021 13:16:02,bkg-processs,56,168.81,115.3
,1-Jan-2021 13:16:02,other-processs,53,161,142.87
,1-Jan-2021 13:16:05,bkg-processs,56,168.81,115.35
,1-Jan-2021 13:16:05,other-processs,53,161,142.87
,1-Jan-2021 13:16:07,bkg-processs,56,168.81,115.3
,1-Jan-2021 13:16:07,other-processs,53,161,142.87
,1-Jan-2021 13:16:09,bkg-processs,56,168.81,115.3
,1-Jan-2021 13:16:09,other-processs,53,161,142.87
,1-Jan-2021 13:16:11,bkg-processs,56,168.81,115.3
,1-Jan-2021 13:16:11,other-processs,53,161,142.87
,1-Jan-2021 13:16:13,bkg-processs,56,168.81,115.3
,1-Jan-2021 13:16:13,other-processs,53,161,142.87
,1-Jan-2021 13:16:15,bkg-processs,56,170.49,115.31
,1-Jan-2021 13:16:15,other-processs,53,161,142.87
,1-Jan-2021 13:16:17,bkg-processs,56,170.49,115.3
,1-Jan-2021 13:16:17,other-processs,53,161,142.87
,1-Jan-2021 13:16:20,bkg-processs,56,170.49,115.3
,1-Jan-2021 13:16:20,other-processs,53,161,142.87
,1-Jan-2021 13:16:22,bkg-processs,56,170.24,115.28
,1-Jan-2021 13:16:22,other-processs,53,161,142.87
,1-Jan-2021 13:16:24,bkg-processs,56,170.24,115.28
,1-Jan-2021 13:16:24,other-processs,53,161,142.87
,1-Jan-2021 13:16:26,bkg-processs,56,170.24,115.28
,1-Jan-2021 13:16:26,other-processs,53,161,142.87
,1-Jan-2021 13:16:28,bkg-processs,56,170.24,115.28
,1-Jan-2021 13:16:28,other-processs,53,161,142.87
,1-Jan-2021 13:16:30,bkg-processs,56,170.24,115.3
,1-Jan-2021 13:16:30,other-processs,53,161,142.87
,1-Jan-2021 13:16:32,bkg-processs,56,170.24,115.28
,1-Jan-2021 13:16:32,other-processs,53,161,142.87
,1-Jan-2021 13:16:35,bkg-processs,56,170.24,115.28
,1-Jan-2021 13:16:35,other-processs,53,161,142.87
,1-Jan-2021 13:16:37,bkg-processs,56,170.24,115.28
,1-Jan-2021 13:16:37,other-processs,53,161,142.87
,1-Jan-2021 13:16:39,bkg-processs,56,170.24,115.28
,1-Jan-2021 13:16:39,other-processs,53,161,142.87
,1-Jan-2021 13:16:41,bkg-processs,56,170.24,115.28
,1-Jan-2021 13:16:41,other-processs,53,161,142.87
,1-Jan-2021 13:16:43,bkg-processs,56,170.24,115.28
,1-Jan-2021 13:16:43,other-processs,53,161,139.82
,1-Jan-2021 13:16:45,bkg-processs,56,170.24,115.41
,1-Jan-2021 13:16:45,other-processs,53,161,142.87
,1-Jan-2021 13:16:47,bkg-processs,56,170.24,115.42
,1-Jan-2021 13:16:47,other-processs,53,161,142.87
,1-Jan-2021 13:16:49,bkg-processs,56,170.24,115.42
,1-Jan-2021 13:16:49,other-processs,53,161,140.84
,1-Jan-2021 13:16:52,bkg-processs,56,170.24,115.41
,1-Jan-2021 13:16:52,other-processs,53,161,141.86
,1-Jan-2021 13:16:54,bkg-processs,56,170.24,115.41
,1-Jan-2021 13:16:54,other-processs,53,161,142.87
,1-Jan-2021 13:16:56,bkg-processs,56,170.24,115.42
,1-Jan-2021 13:16:56,other-processs,53,161,142.87
,1-Jan-2021 13:16:58,bkg-processs,56,170.24,115.27
,1-Jan-2021 13:17:02,bkg-processs,56,170.24,115.28
,1-Jan-2021 13:16:58,other-processs,53,161,142.87
,1-Jan-2021 13:17:00,bkg-processs,56,170.24,115.27
,1-Jan-2021 13:17:00,other-processs,53,161,142.87
,1-Jan-2021 13:17:02,other-processs,53,161,142.87
,1-Jan-2021 13:17:04,bkg-processs,56,170.24,115.21
,1-Jan-2021 13:17:04,other-processs,53,161,142.87
,1-Jan-2021 13:17:06,bkg-processs,56,170.24,115.21
,1-Jan-2021 13:17:06,other-processs,53,161,142.87
,1-Jan-2021 13:17:09,bkg-processs,56,170.24,115.21
,1-Jan-2021 13:17:09,other-processs,53,161,142.87
,1-Jan-2021 13:17:11,bkg-processs,56,170.24,115.21
,1-Jan-2021 13:17:11,other-processs,53,161,142.87
,1-Jan-2021 13:17:13,bkg-processs,56,170.24,115.21
,1-Jan-2021 13:17:13,other-processs,53,161,142.87
,1-Jan-2021 13:17:15,bkg-processs,56,170.24,115.21
,1-Jan-2021 13:17:15,other-processs,53,161,142.87
,1-Jan-2021 13:17:17,bkg-processs,56,170.24,115.21
,1-Jan-2021 13:17:17,other-processs,53,161,142.87
,1-Jan-2021 13:17:19,bkg-processs,56,170.24,115.21
,1-Jan-2021 13:17:19,other-processs,53,161,142.87
,1-Jan-2021 13:17:22,bkg-processs,56,170.24,115.21
,1-Jan-2021 13:17:22,other-processs,53,161,142.87
,1-Jan-2021 13:17:24,bkg-processs,56,170.24,115.21
,1-Jan-2021 13:17:24,other-processs,53,161,142.87
,1-Jan-2021 13:17:26,bkg-processs,56,170.24,115.21
,1-Jan-2021 13:17:26,other-processs,53,161,142.87
,1-Jan-2021 13:17:28,bkg-processs,56,170.24,115.21
,1-Jan-2021 13:17:28,other-processs,53,161,142.87
,1-Jan-2021 13:17:30,bkg-processs,56,170.24,115.21
,1-Jan-2021 13:17:30,other-processs,53,161,142.87
,1-Jan-2021 13:17:32,bkg-processs,56,170.24,115.21
,1-Jan-2021 13:17:32,other-processs,53,161,142.87
,1-Jan-2021 13:17:34,bkg-processs,56,170.24,115.21
,1-Jan-2021 13:17:34,other-processs,53,161,142.87
,1-Jan-2021 13:17:37,bkg-processs,56,170.24,115.22
,1-Jan-2021 13:17:37,other-processs,53,161,142.87
,1-Jan-2021 13:17:39,bkg-processs,56,170.24,115.21
,1-Jan-2021 13:17:39,other-processs,53,161,142.87
,1-Jan-2021 13:17:41,bkg-processs,56,170.24,115.2
,1-Jan-2021 13:17:41,other-processs,53,161,142.87
,1-Jan-2021 13:31:25,bkg-processs,56,172.68,115.46
,1-Jan-2021 13:31:25,other-processs,2,5.28,3.84
